Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24,Var25,Var26,Var27
A00028185,Wander Focused-Wandering Focus Focused-Wandering Wander Focused-Wandering Focus Wandering-Focused Wander Wandering-Focused Focus Wandering-Focused Wander Focused-Wandering Focus Focused-Wandering Wander Focused-Wandering Focus Wandering-Focused Wander Wandering-Focused Focus Wandering-Focused,1,-0.530548627817909,NaN,0.000983995416622593,NaN,-0.747936503764857,NaN,-0.00574886757299822,NaN,-0.621916942276019,NaN,0.0933029663858692,NaN,NaN,-0.666508441022242,NaN,0.735093753172178,NaN,0.97032768951437,NaN,0.55869514114537,NaN,-0.719157432810809,NaN,-0.780337487037785
A00033747,Wander Wandering-Focused Focus Wandering-Focused Wander Wandering-Focused Focus Focused-Wandering Wander Focused-Wandering Focus Focused-Wandering Wander Wandering-Focused Focus Wandering-Focused Wander Wandering-Focused Focus Focused-Wandering Wander Focused-Wandering Focus Focused-Wandering,2,-0.44759886313409,NaN,0.966330421352057,NaN,-0.43950600578059,NaN,-0.758150852198545,NaN,0.880335874731515,NaN,0.0743549495580039,NaN,NaN,0.959708709880355,NaN,-0.280033000360815,NaN,-0.699136841367269,NaN,0.862804619806953,NaN,0.913997879717992,NaN,0.908893010647276
A00034854,Focus Focused-Wandering Wander Focused-Wandering Focus Focused-Wandering Wander Wandering-Focused Focus Wandering-Focused Wander Wandering-Focused Focus Focused-Wandering Wander Focused-Wandering Focus Focused-Wandering Wander Wandering-Focused Focus Wandering-Focused Wander Wandering-Focused,3,NaN,-0.29392682767862,NaN,-0.325504922494824,NaN,-0.741928848943732,NaN,0.895544445770872,NaN,0.0746029651670713,NaN,-0.502722166019051,-0.568101105201362,NaN,-0.31341850463898,NaN,0.550405056477748,NaN,0.957701614306246,NaN,0.985940638531909,NaN,0.812170805439043,NaN
A00035072,Focus Focused-Wandering Wander Focused-Wandering Focus Focused-Wandering Wander Wandering-Focused Focus Wandering-Focused Wander Wandering-Focused Focus Focused-Wandering Wander Focused-Wandering Focus Focused-Wandering Wander Wandering-Focused Focus Wandering-Focused Wander Wandering-Focused,3,NaN,0.275495746735053,NaN,0.966307947665238,NaN,0.979017037312297,NaN,0.110614857641723,NaN,0.944413158062206,NaN,0.946633336750825,0.0626356671402947,NaN,0.790295888412789,NaN,0.584729052468626,NaN,0.695452048307544,NaN,0.941997564099811,NaN,0.646856531265647,NaN
A00035840,Focus Focused-Wandering Wander Focused-Wandering Focus Focused-Wandering Wander Wandering-Focused Focus Wandering-Focused Wander Wandering-Focused Focus Focused-Wandering Wander Focused-Wandering Focus Focused-Wandering Wander Wandering-Focused Focus Wandering-Focused Wander Wandering-Focused,3,NaN,-0.819844463520038,NaN,0.967565037883309,NaN,-0.740844706701395,NaN,0.53785011560532,NaN,0.973376178765867,NaN,-0.834798905829077,0.721965801374687,NaN,-0.964213652766657,NaN,0.959258811076976,NaN,0.747815848841689,NaN,-0.971399757225282,NaN,0.982344568908951,NaN
A00037112,Focus Wandering-Focused Wander Wandering-Focused Focus Wandering-Focused Wander Focused-Wandering Focus Focused-Wandering Wander Focused-Wandering Focus Wandering-Focused Wander Wandering-Focused Focus Wandering-Focused Wander Focused-Wandering Focus Focused-Wandering Wander Focused-Wandering,4,NaN,-0.635209110879424,NaN,-0.528915037121119,NaN,-0.90421132160792,NaN,0.946970641383945,NaN,0.670904380561967,NaN,-0.696742943368294,0.152351542404437,NaN,0.758958106241001,NaN,-0.205752126906369,NaN,-0.575658572277415,NaN,-0.589822201891032,NaN,-0.641688886331466,NaN
A00037848,Focus Focused-Wandering Wander Focused-Wandering Focus Focused-Wandering Wander Wandering-Focused Focus Wandering-Focused Wander Wandering-Focused Focus Focused-Wandering Wander Focused-Wandering Focus Focused-Wandering Wander Wandering-Focused Focus Wandering-Focused Wander Wandering-Focused,3,NaN,-0.937263059074732,NaN,0.984740893532536,NaN,-0.818772102311247,NaN,0.668450673467601,NaN,0.932361312972943,NaN,-0.129337700398826,0.775788934437071,NaN,-0.673139207751707,NaN,0.604637817280316,NaN,0.559289009698903,NaN,-0.927295689143587,NaN,-0.690563158567959,NaN
A00038642,Focus Wandering-Focused Wander Wandering-Focused Focus Wandering-Focused Wander Focused-Wandering Focus Focused-Wandering Wander Focused-Wandering Focus Wandering-Focused Wander Wandering-Focused Focus Wandering-Focused Wander Focused-Wandering Focus Focused-Wandering Wander Focused-Wandering,4,NaN,-0.375189639791113,NaN,0.983185194207373,NaN,-0.793736093100474,NaN,0.45382793908356,NaN,0.954564548235904,NaN,-0.53542868777027,-0.833777537928663,NaN,0.416812447644849,NaN,0.38072594104035,NaN,0.977830667477621,NaN,-0.845816718525481,NaN,0.92716800198256,NaN
A00038998,Wander Wandering-Focused Focus Wandering-Focused Wander Wandering-Focused Focus Focused-Wandering Wander Focused-Wandering Focus Focused-Wandering Wander Wandering-Focused Focus Wandering-Focused Wander Wandering-Focused Focus Focused-Wandering Wander Focused-Wandering Focus Focused-Wandering,2,-0.607023932085412,NaN,0.949311635962755,NaN,0.877265232922469,NaN,0.969633215460166,NaN,0.989251653482616,NaN,0.780660414111909,NaN,NaN,-0.75885831789259,NaN,0.977412620426208,NaN,0.948838228375943,NaN,0.0822251434745534,NaN,-0.694193389216912,NaN,0.959909413100186
A00040623,Focus Focused-Wandering Wander Focused-Wandering Focus Focused-Wandering Wander Wandering-Focused Focus Wandering-Focused Wander Wandering-Focused Focus Focused-Wandering Wander Focused-Wandering Focus Focused-Wandering Wander Wandering-Focused Focus Wandering-Focused Wander Wandering-Focused,3,NaN,0.000139740259815733,NaN,0.370491818271543,NaN,-0.0921099848878112,NaN,-0.497313736014566,NaN,0.373844928785087,NaN,-0.940393400485996,-0.787522851419014,NaN,-0.209324740168057,NaN,0.353407318778235,NaN,0.480690864839809,NaN,0.734600723508472,NaN,0.420004481368722,NaN
